Birth Rate,Business Tax Rate,Days to Start Business,GDP,Health Exp % GDP,Health Exp/Capita,Hours to do Tax,Infant Mortality Rate,Internet Usage,Life Expectancy Female,Life Expectancy Male,Mobile Phone Usage,Population 0-14,Population 15-64,Population 65+,Population Urban,Region,Country
0.011,8.40,3,10395222334.00,0.069,344.00,119,0.008,0.6,77,73,1.1,0.171,0.71,0.118,0.57,Europe,"Macedonia, FYR"
0.01,41.00,40,9302057270.00,0.087,1900.00,139,0.005,0.7,83,79,1.2,0.153,0.697,0.15,0.948,Europe,Malta
0.012,30.80,9,7016162818.00,0.114,224.00,228,0.014,0.4,73,65,0.9,0.165,0.723,0.112,0.449,Europe,Moldova
,0.00,,6074506533.00,0.044,7180.00,,0.003,0.8,,,0.9,,,,1,Europe,Monaco
0.012,20.90,10,4501753898.00,0.072,522.00,372,0.006,0.4,77,72,1.9,0.193,0.682,0.126,0.633,Europe,Montenegro
0.011,39.60,8,832755438977.00,0.119,5997.00,127,0.004,0.9,83,79,1.2,0.173,0.667,0.159,0.878,Europe,Netherlands
0.012,40.70,7,490806911071.00,0.099,9908.00,87,0.003,0.9,84,79,1.2,0.187,0.661,0.152,0.794,Europe,Norway
0.01,39.50,32,515771297421.00,0.068,915.00,296,0.005,0.6,81,73,1.3,0.149,0.713,0.137,0.608,Europe,Poland
0.009,42.70,4,237888302256.00,0.102,2302.00,275,0.003,0.6,84,77,1.2,0.15,0.667,0.182,0.612,Europe,Portugal
0.01,43.10,14,182610666616.00,0.056,480.00,222,0.012,0.4,78,71,1.1,0.15,0.701,0.149,0.54,Europe,Romania
0.013,46.90,29,1904793021649.00,0.061,803.00,290,0.01,0.5,76,64,1.4,0.151,0.718,0.13,0.737,Europe,Russian Federation
0.01,0.00,,,0.055,3553.00,,0.003,0.5,86,80,1.1,,,,0.941,Europe,San Marino
0.009,34.00,13,43749934551.00,0.103,622.00,279,0.006,0.4,77,72,1.3,0.167,0.695,0.138,0.553,Europe,Serbia
0.011,47.60,18,95877536836.00,0.079,1415.00,231,0.007,0.7,80,72,1.1,0.15,0.725,0.125,0.544,Europe,Slovak Republic
0.011,33.90,6,50250147802.00,0.089,2171.00,260,0.003,0.7,83,77,1.1,0.141,0.691,0.169,0.499,Europe,Slovenia
0.01,38.70,28,1454534452554.00,0.093,2978.00,187,0.004,0.7,86,80,1.1,0.151,0.677,0.173,0.787,Europe,Spain
0.012,52.00,16,536000581090.00,0.095,5419.00,122,0.002,0.9,84,80,1.2,0.166,0.649,0.185,0.852,Europe,Sweden
0.01,28.90,18,658867317929.00,0.11,9248.00,63,0.004,0.9,85,81,1.3,0.149,0.679,0.172,0.737,Europe,Switzerland
0.017,40.00,6,774754155294.00,0.061,644.00,226,0.019,0.4,78,71,0.9,0.264,0.665,0.072,0.713,Europe,Turkey
0.011,57.10,24,163421733019.00,0.073,262.00,657,0.01,0.3,76,66,1.2,0.14,0.704,0.156,0.689,Europe,Ukraine
0.013,36.10,12,2462484285580.00,0.094,3659.00,110,0.004,0.9,83,79,1.2,0.175,0.656,0.169,0.816,Europe,United Kingdom
0.016,13.50,9,29044378668.00,0.038,766.00,36,0.006,0.8,77,76,1.3,0.198,0.781,0.021,0.886,Middle East,Bahrain
0.019,44.10,11,528426099489.00,0.068,483.00,344,0.016,0.2,75,72,0.7,0.236,0.712,0.052,0.712,Middle East,"Iran, Islamic Rep."
0.032,27.80,32,191176927521.00,0.027,160.00,312,0.029,0.1,73,65,0.8,0.409,0.558,0.033,0.691,Middle East,Iraq
0.021,30.20,20,258216783343.00,0.076,2373.00,235,0.003,0.7,84,80,1.2,0.273,0.622,0.105,0.919,Middle East,Israel
0.028,27.70,12,28840197019.00,0.088,386.00,151,0.017,0.3,75,72,1.1,0.346,0.62,0.034,0.827,Middle East,Jordan
0.021,10.70,32,160600006232.00,0.026,1349.00,98,0.009,0.7,75,73,1.6,0.251,0.728,0.021,0.983,Middle East,Kuwait
0.013,30.20,9,40078938640.00,0.074,646.00,180,0.009,0.5,82,77,0.8,0.227,0.688,0.085,0.873,Middle East,Lebanon
0.022,22.00,8,69971912138.00,0.024,610.00,62,0.01,0.5,79,74,1.6,0.257,0.717,0.026,0.757,Middle East,Oman
0.011,11.30,9,169804731108.00,0.019,1738.00,36,0.007,0.7,79,77,1.2,0.134,0.856,0.01,0.988,Middle East,Qatar
0.02,14.50,21,669506666667.00,0.035,721.00,79,0.014,0.5,77,74,1.9,0.302,0.669,0.029,0.823,Middle East,Saudi Arabia
0.025,39.70,13,,0.034,102.00,336,0.013,0.2,78,72,0.6,0.355,0.607,0.038,0.561,Middle East,Syrian Arab Republic
0.016,14.10,13,348594945288.00,0.031,1375.00,12,0.007,0.8,78,76,1.3,0.14,0.857,0.003,0.844,Middle East,United Arab Emirates
0.032,32.70,12,29207296703.00,0.05,63.00,248,0.044,0.1,64,61,0.5,0.413,0.559,0.028,0.323,Middle East,"Yemen, Rep."
,0.00,,,,,,,,,,,,,,0.875,Oceania,American Samoa
0.014,47.30,3,1386889147177.00,0.092,6114.00,109,0.004,0.8,84,80,1,0.189,0.674,0.137,0.889,Oceania,Australia
0.021,38.30,45,3753485389.00,0.038,167.00,163,0.02,0.3,73,67,0.8,0.289,0.661,0.05,0.522,Oceania,Fiji
0.017,0.00,,,,,,,0.5,78,74,0.8,0.233,0.698,0.07,0.563,Oceania,French Polynesia
0.018,0.00,,,,,,,0.6,81,76,,0.271,0.654,0.075,0.942,Oceania,Guam
0.023,31.80,31,172253739.00,0.108,181.00,120,0.047,0.1,71,65,0.1,0.33,0.631,0.039,0.439,Oceania,Kiribati
,64.80,17,170700000.00,0.16,567.00,128,0.032,0.1,,,,,,,0.716,Oceania,Marshall Islands
0.024,59.00,16,310287519.00,0.137,412.00,128,0.032,0.2,70,68,0.3,0.364,0.597,0.039,0.223,Oceania,"Micronesia, Fed. Sts."
0.016,0.00,,,,,,,0.5,79,73,0.9,0.231,0.671,0.098,0.679,Oceania,New Caledonia
0.014,34.40,1,163841041662.00,0.103,3715.00,172,0.005,0.8,83,79,1.1,0.204,0.663,0.133,0.862,Oceania,New Zealand
0.03,42.10,51,12393604089.00,0.042,74.00,194,0.05,0,64,60,0.3,0.387,0.584,0.028,0.13,Oceania,Papua New Guinea
0.027,18.90,9,631791993.00,0.07,245.00,224,0.016,0.1,76,70,,0.381,0.569,0.051,0.199,Oceania,Samoa
0.032,26.20,42,868574141.00,0.077,124.00,80,0.026,0.1,69,66,0.5,0.406,0.561,0.033,0.205,Oceania,Solomon Islands
0.027,25.40,16,423038017.00,0.05,219.00,164,0.011,0.3,75,69,0.5,0.374,0.568,0.058,0.234,Oceania,Tonga
0.027,8.40,35,785745262.00,0.038,125.00,120,0.015,0.1,73,69,0.6,0.378,0.582,0.04,0.249,Oceania,Vanuatu
0.017,41.00,21,1127037037.00,0.055,703.00,207,0.008,0.5,78,73,2,0.258,0.67,0.072,0.257,The Americas,Antigua and Barbuda
0.017,107.70,25,557727273773.00,0.079,866.00,415,0.013,0.5,80,72,1.5,0.246,0.646,0.107,0.911,The Americas,Argentina
0.011,0.00,,2584463687.00,,,,,0.7,78,73,,0.204,0.689,0.107,0.427,The Americas,Aruba
0.015,46.60,24,7872584000.00,0.075,1622.00,58,0.011,0.7,78,72,0.8,0.22,0.708,0.072,0.826,The Americas,"Bahamas, The"
0.013,41.10,18,4368900000.00,0.072,935.00,245,0.014,0.7,77,73,1.2,0.191,0.704,0.105,0.319,The Americas,Barbados
0.024,33.20,44,1489000000.00,0.058,264.00,147,0.015,0.2,77,71,0.7,0.349,0.612,0.039,0.447,The Americas,Belize
0.012,0.00,,5550771000.00,,,,,0.9,82,77,,,,,1,The Americas,Bermuda
0.026,80.00,49,23948541156.00,0.05,115.00,1080,0.033,0.3,69,65,0.8,0.356,0.596,0.048,0.669,The Americas,Bolivia
0.015,66.30,119,2476694763271.00,0.089,1119.00,2600,0.014,0.5,77,70,1.2,0.25,0.679,0.071,0.846,The Americas,Brazil
0.011,26.10,5,1778632046933.00,0.109,5656.00,131,0.005,0.8,83,79,0.8,0.164,0.691,0.145,0.811,The Americas,Canada
0.015,0.00,,,,,,,0.7,,,1.7,,,,1,The Americas,Cayman Islands
0.014,24.50,8,251162316598.00,0.071,1022.00,316,0.007,0.5,82,76,1.3,0.217,0.688,0.094,0.888,The Americas,Chile
0.019,76.40,14,335415156702.00,0.065,466.00,193,0.015,0.4,77,70,1,0.284,0.658,0.058,0.753,The Americas,Colombia
0.016,55.30,60,41237296807.00,0.102,883.00,246,0.009,0.4,82,77,0.9,0.244,0.689,0.067,0.729,The Americas,Costa Rica
0.01,0.00,,68233900000.00,0.106,648.00,,0.006,0.2,81,77,0.1,0.169,0.703,0.127,0.767,The Americas,Cuba
0.013,0.00,,,,,,,,81,74,1.4,0.197,0.669,0.134,0.898,The Americas,Curacao
,37.10,12,491481481.00,0.06,402.00,117,0.011,0.5,,,1.5,,,,0.684,The Americas,Dominica
0.022,41.20,19,55433248935.00,0.054,293.00,324,0.025,0.4,76,70,0.9,0.308,0.631,0.061,0.749,The Americas,Dominican Republic
0.021,35.30,56,76769729000.00,0.069,362.00,654,0.02,0.3,79,73,1,0.306,0.631,0.063,0.629,The Americas,Ecuador
0.02,34.80,17,23139000000.00,0.068,252.00,320,0.015,0.2,77,67,1.3,0.313,0.617,0.07,0.648,The Americas,El Salvador
0.014,0.00,,,,,,,0.6,,,1,,,,0.848,The Americas,Greenland
0.019,45.30,15,778518505.00,0.065,481.00,140,0.011,0.3,75,70,1.2,0.272,0.656,0.072,0.356,The Americas,Grenada
0.032,40.90,37,47654789735.00,0.067,215.00,344,0.028,0.1,75,68,1.3,0.412,0.544,0.045,0.498,The Americas,Guatemala
0.021,35.90,20,2576602497.00,0.068,221.00,263,0.032,0.3,69,63,0.7,0.373,0.595,0.033,0.283,The Americas,Guyana
0.026,40.40,105,7516834160.00,0.085,62.00,184,0.057,0.1,64,61,0.4,0.358,0.598,0.045,0.535,The Americas,Haiti
0.026,43.60,14,17710325578.00,0.084,187.00,224,0.02,0.2,76,71,1,0.362,0.594,0.043,0.523,The Americas,Honduras
0.015,44.30,7,14433926129.00,0.052,273.00,414,0.015,0.4,76,71,1.1,0.284,0.637,0.079,0.539,The Americas,Jamaica
0.019,52.70,6,1170085556896.00,0.06,609.00,347,0.014,0.4,79,75,0.8,0.295,0.643,0.061,0.781,The Americas,Mexico
0.024,66.90,39,9898547558.00,0.076,124.00,207,0.021,0.1,77,71,0.8,0.339,0.615,0.046,0.575,The Americas,Nicaragua
0.02,43.60,8,33270500000.00,0.079,664.00,482,0.016,0.4,80,74,1.8,0.29,0.641,0.069,0.654,The Americas,Panama
